Date,Open,High,Low,Close,Adj Close,Volume,LogRet,Vol,PortfolioValue,DailyPnL,Delta,Gamma,Theta,Vega,Rho,CumulativePnL
2014-07-15,8.09000015258789,8.135000228881836,8.09000015258789,8.135000228881836,8.135000228881836,0,,,,0.0,,,,,,0.0
2014-07-16,8.107000350952148,8.107000350952148,8.107000350952148,8.107000350952148,8.107000350952148,0,-0.0034478395108608374,,,0.0,,,,,,0.0
2014-07-17,8.138999938964844,8.138999938964844,8.086999893188477,8.086999893188477,8.086999893188477,0,-0.0024701083897042627,,,0.0,,,,,,0.0
2014-07-18,8.0,8.0,8.0,8.0,8.0,0,-0.010816279226043538,,,0.0,,,,,,0.0
2014-07-21,7.997000217437744,7.997000217437744,7.997000217437744,7.997000217437744,7.997000217437744,0,-0.00037504314016920457,,,0.0,,,,,,0.0
2014-07-22,8.083999633789062,8.083999633789062,8.083999633789062,8.083999633789062,8.083999633789062,0,0.010820255700996996,,,0.0,,,,,,0.0
2014-07-23,8.069000244140625,8.069000244140625,8.069000244140625,8.069000244140625,8.069000244140625,0,-0.0018571651176799001,,,0.0,,,,,,0.0
2014-07-24,7.974999904632568,7.974999904632568,7.974999904632568,7.974999904632568,7.974999904632568,0,-0.011717952410374302,,,0.0,,,,,,0.0
2014-07-25,8.065999984741211,8.065999984741211,8.015000343322754,8.015000343322754,8.015000343322754,0,0.005003192183934258,,,0.0,,,,,,0.0
2014-07-28,8.147000312805176,8.147000312805176,8.147000312805176,8.147000312805176,8.147000312805176,0,0.016334970827096378,,,0.0,,,,,,0.0
2014-07-29,8.111000061035156,8.111000061035156,8.0600004196167,8.0600004196167,8.0600004196167,0,-0.010736191143479564,,,0.0,,,,,,0.0
2014-07-30,7.992000102996826,7.992000102996826,7.992000102996826,7.992000102996826,7.992000102996826,0,-0.008472554346417652,,,0.0,,,,,,0.0
